rank of	rank:80,80,;
and other	and:46,75,83,83,98,46,75,83,98,;
other symbol	other:38,;
prefer inter	prefer:105,105,;
how these	how:76,;
paradigms using	paradigms:90,;
of handling	of:81,;
english in	english:57,57,;
various index	various:62,62,;
iterative searching	iterative:93,93,;
that obtained	that:111,;
languages what	languages:8,;
eight model	eight:80,;
be emerge	be:48,;
corrected information	corrected:89,;
contemplated or	contemplated:54,;
indexing in	indexing:8,8,;
different projects	different:85,;
udc lc	udc:50,50,;
operational data	operational:87,;
properties with	properties:102,;
a efficient	a:65,;
online searching	online:89,89,;
stage called	stage:78,;
appropriate commands	appropriate:98,;
indexing is	indexing:68,;
computerized information	computerized:27,28,27,28,;
two new	two:44,44,;
have bring	have:58,;
overcome the	overcome:85,85,;
the project	the:87,108,108,87,108,108,;
ease in	ease:63,63,;
purpose values	purpose:39,;
4 proximities	4:109,;
items may	items:71,;
the context	the:93,93,;
generalization of	generalization:78,97,78,97,;
of n	of:90,90,;
indicate that	indicate:65,93,65,93,;
people experienced	people:67,;
what difficulties	what:1,;
lc can	lc:56,56,;
development in	development:76,96,76,;
of a	of:46,47,51,62,62,63,67,68,69,81,81,82,84,84,87,93,93,98,98,99,102,102,103,105,106,109,111,111,46,62,62,67,69,81,81,82,84,87,93,98,99,102,102,106,109,;
be there	be:1,6,9,14,18,41,41,47,48,50,;
the system	the:65,85,85,85,85,85,87,87,87,94,94,103,106,65,85,85,85,85,85,87,87,87,94,94,103,;
indicator si	indicator:91,;
take a	take:43,110,43,110,;
different test	different:104,104,;
wanted are	wanted:37,37,;
leading to	leading:94,;
on judgements	on:61,;
classification experiment	classification:112,;
section to	section:67,67,;
descriptor for	descriptor:51,73,73,;
query keyword	query:107,;
computed and	computed:67,;
root weighted	root:80,;
compared and	compared:79,;
67 of	67:67,67,;
specify it	specify:91,;
the formulation	the:93,93,;
judged by	judged:60,;
documents may	documents:65,;
has this	has:47,;
and five	and:67,67,;
of five	of:80,80,;
pairs will	pairs:68,;
inclusion in	inclusion:9,9,;
concepts taken	concepts:90,90,;
classical boolean	classical:62,62,;
a number	a:73,95,101,104,73,95,101,104,;
of relevance	of:60,60,;
admissible combinations	admissible:90,;
development of	development:49,58,85,85,49,58,85,85,;
by assign	by:69,;
to chemistry	to:28,28,;
result be	result:87,91,102,;
they likely	they:5,5,;
evolution the	evolution:70,70,;
regard the	regard:90,;
using a	using:86,;
or discuss	or:90,;
system generalized	system:95,;
analysis we	analysis:96,96,;
national boundaries	national:47,;
information extractor	information:85,85,;
one mode	one:91,91,;
heterogeneous bibliographic	heterogeneous:98,98,;
offerings some	offerings:83,;
be initiate	be:54,;
file this	file:73,;
cited together	cited:109,;
phrases are	phrases:71,;
view follow	view:94,;
by the	by:52,60,67,77,81,81,85,90,91,91,91,98,98,52,60,67,77,81,81,85,90,91,91,91,98,98,;
processing and	processing:101,101,101,101,;
eight previously	eight:80,80,;
or arrange	or:57,;
time for	time:87,;
effectiveness measure	effectiveness:105,;
recall ratio	recall:72,;
assists searchers	assists:108,;
specialized research	specialized:48,48,;
misleadingly pessimistic	misleadingly:89,89,;
it appear	it:42,;
the parser	the:75,75,;
frequency of	frequency:80,80,;
any use	any:50,50,;
of responsibility	of:78,78,;
various area	various:109,;
per second	per:67,67,;
to identify	to:90,90,;
test collection	test:60,104,60,;
cite by	cite:91,;
code and	code:19,;
technical services	technical:87,;
generate the	generate:68,68,;
for proper	for:5,5,;
section of	section:67,67,67,;
what method	what:18,;
served by	served:90,;
study have	study:41,;
effectiveness aspect	effectiveness:89,;
cocitation counts	cocitation:109,;
in design	in:63,;
well define	well:70,;
section or	section:67,;
their ease	their:63,;
dictionary display	dictionary:63,63,;
found useful	found:37,;
results showed	results:107,;
product useful	product:69,;
printed in	printed:57,;
the keyword	the:86,86,;
searching systems	searching:19,;
of oclc	of:74,74,;
bearing does	bearing:8,;
is associated	is:73,;
many existing	many:85,;
either whole	either:79,79,;
how it	how:90,90,;
fields have	fields:70,;
because the	because:57,57,;
design rather	design:81,81,;
the variable	the:109,109,;
connect various	connect:109,109,;
the prospct	the:49,;
of bradford	of:80,80,;
them for	them:71,;
modeling all	modeling:91,91,;
g sdc	g:66,66,;
recent article	recent:97,;
on librarians	on:54,;
have maximum	have:79,;
nuance of	nuance:36,;
be jointly	be:91,91,;
the iterative	the:93,93,;
document and	document:60,71,93,71,;
the representation	the:75,75,;
businessmen need	businessmen:5,;
a given	a:78,90,112,;
correction during	correction:86,86,;
personnel in	personnel:24,24,;
medlars how	medlars:55,55,;
basis of	basis:62,63,62,63,;
recent developments	recent:96,;
represented indexing	represented:105,;
relevant and	relevant:84,84,;
the training	the:67,67,67,67,;
type of	type:54,66,75,80,80,106,75,80,;
cite at	cite:91,;
discussed for	discussed:90,;
the limit	the:95,95,;
collection this	collection:68,68,;
into they	into:67,;
catalogs which	catalogs:57,;
types of	types:54,66,80,106,;
experimental interface	experimental:98,98,;
term dss	term:70,70,;
datum from	datum:58,;
supported agencies	supported:35,;
to process	to:79,79,;
proposed methods	proposed:79,;
equipment will	equipment:43,43,;
being developed	being:108,108,;
use 11	use:80,;
would retrieve	would:91,91,;
or contrived	or:59,59,;
would like	would:46,46,;
marc be	marc:58,;
are these	are:50,;
citations in	citations:91,;
the structural	the:18,18,;
measure represent	measure:60,;
simultaneously the	simultaneously:93,93,;
occurrence and	occurrence:107,;
we might	we:90,90,;
usage show	usage:99,;
notes the	notes:100,;
current state	current:100,100,;
operation both	operation:46,;
see rather	see:75,;
how can	how:2,36,38,51,53,2,36,38,51,53,;
1979 total	1979:92,;
how do	how:52,55,;
and analyze	and:87,;
as papers	as:91,;
articles have	articles:43,97,;
while technology	while:58,58,;
in two	in:18,106,18,106,;
retrieval research	retrieval:48,48,;
using authors	using:109,;
be presently	be:44,59,;
search facility	search:101,;
arc of	arc:90,90,;
examine and	examine:101,;
which are	which:57,81,93,106,;
the dictionary	the:67,67,67,71,67,67,67,71,;
type or	type:63,63,;
the origins	the:76,;
are there	are:1,6,9,18,48,;
functional distribute	functional:103,;
from certain	from:111,111,;
humans that	humans:6,;
and find	and:37,;
illustrate by	illustrate:85,;
useful for	useful:37,37,37,37,;
to change	to:39,39,;
of find	of:56,;
were created	were:106,106,;
author title	author:57,57,;
systematic distortion	systematic:64,64,;
processes they	processes:83,;
under control	under:99,;
concern that	concern:70,;
of programming	of:43,43,;
boolean expression	boolean:96,;
the alphabetically	the:56,56,;
to specific	to:60,60,;
are usually	are:110,;
indexing be	indexing:68,;
certain specified	certain:90,;
document are	document:112,;
with automate	with:56,;
manipulations and	manipulations:101,;
indicate they	indicate:109,;
deal of	deal:97,97,;
3 the	3:109,109,;
reduction factors	reduction:106,;
database have	database:92,;
authors combining	authors:90,;
be retrieve	be:2,;
or libraries	or:48,;
already operational	already:72,72,;
often change	often:38,38,;
occurrence of	occurrence:67,67,;
basis in	basis:82,88,82,;
phase words	phase:67,;
relationship be	relationship:74,;
inquiry be	inquiry:85,;
the non	the:112,112,;
of task	of:70,;
further that	further:90,90,;
and usage	and:38,38,;
technological advances	technological:74,;
technological factor	technological:74,;
programs providing	programs:24,;
design use	design:70,;
usually quoted	usually:110,;
distinguish relevant	distinguish:65,65,;
of computer	of:40,70,;
an integrated	an:75,;
the decision	the:70,70,70,70,;
contain correct	contain:89,;
give descriptions	give:46,;
inferences scripts	inferences:75,;
what is	what:1,3,11,40,54,75,;
blocking a	blocking:47,;
in implementation	in:63,63,;
have continuous	have:97,97,;
the mode	the:85,85,;
researcher has	researcher:42,;
purpose have	purpose:53,;
networks three	networks:66,;
value several	value:77,77,;
the new	the:39,39,54,100,39,54,100,;
theory and	theory:36,95,95,;
this form	this:41,41,;
techniques are	techniques:67,;
also identified	also:91,;
and subject	and:57,57,;
automated passage	automated:106,;
be contemplate	be:54,;
arranged alphabetically	arranged:57,;
indexes can	indexes:59,;
analysis be	analysis:108,;
by heuristic	by:67,;
enhance retrieval	enhance:99,101,99,101,;
weights of	weights:97,;
methods appear	methods:93,;
new journal	new:44,;
states the	states:58,58,;
if the	if:64,68,64,68,;
has information	has:49,;
derive cluster	derive:68,;
philosophy design	philosophy:98,98,;
collect edit	collect:69,69,;
orient way	orient:85,;
a problem	a:43,43,;
and some	and:71,71,;
databases incorporating	databases:107,;
frequent communication	frequent:90,90,;
large database	large:93,93,;
of some	of:93,93,;
but has	but:49,;
weights moreover	weights:96,;
paper of	paper:91,;
the sciences	the:109,;
paper on	paper:90,;
previous query	previous:107,;
introduction of	introduction:60,60,;
data are	data:87,89,109,;
prospct for	prospct:49,;
management information	management:70,70,;
only through	only:70,70,;
sample of	sample:90,90,;
subset of	subset:88,88,97,88,97,;
selectors the	selectors:72,;
illustrate in	illustrate:85,;
titles what	titles:1,1,;
retrieved papers	retrieved:60,91,;
boolean requests	boolean:62,;
relationships between	relationships:65,;
still an	still:48,;
11 database	11:80,;
be apply	be:46,50,71,93,;
are protocols	are:83,;
improving the	improving:70,;
a boolean	a:62,62,84,97,62,62,84,97,;
1979 totals	1979:92,;
clustering procedure	clustering:111,111,;
the library	the:54,66,54,66,;
be improve	be:65,;
prevalence measures	prevalence:84,;
examine in	examine:76,;
providing feedback	providing:108,;
sequence of	sequence:78,78,;
are concerned	are:90,;
its expected	its:73,73,;
paper in	paper:90,90,91,91,;
paper is	paper:70,85,90,96,;
want be	want:37,37,;
document cluster	document:65,;
likelihood search	likelihood:86,;
and where	and:50,50,;
technique could	technique:99,;
used together	used:90,;
the processing	the:71,71,;
discrete weights	discrete:97,;
question respectively	question:72,72,;
is cumbersome	is:105,;
the programmer	the:43,43,;
information regarding	information:89,;
concentrates on	concentrates:75,;
present study	present:101,101,;
conduct to	conduct:106,;
was thought	was:91,;
represent in	represent:78,;
lexical problem	lexical:81,81,81,;
promote integration	promote:81,;
of changing	of:85,;
a cascade	a:78,;
a common	a:98,98,98,98,;
a subject	a:50,95,50,95,;
and aramaic	and:93,93,;
journals appear	journals:44,;
standardization and	standardization:58,58,;
major encyclopedia	major:59,;
can also	can:65,65,;
paper presents	paper:77,;
intelligence except	intelligence:90,90,;
data and	data:70,;
which concepts	which:90,;
mind will	mind:57,57,;
propose method	propose:79,;
influenced by	influenced:63,;
retrieval costs	retrieval:79,;
schemes irrelevant	schemes:50,;
this training	this:24,24,24,24,;
set use	set:86,;
of experiment	of:106,;
and method	and:32,;
requirement for	requirement:24,;
by two	by:72,72,;
new generation	new:100,100,;
on getting	on:70,;
we shall	we:96,96,96,96,;
datum a	datum:80,;
technique suitable	technique:86,;
managers concerned	managers:70,;
systems ought	systems:97,;
to searching	to:99,;
experiment using	experiment:80,;
the relevance	the:79,102,102,79,102,102,;
will be	will:16,66,68,68,88,16,66,68,68,88,;
admissible combination	admissible:90,;
have obtained	have:90,;
development be	development:58,;
weights assigned	weights:97,;
for retrieve	for:37,;
the structure	the:73,90,73,90,;
avoid the	avoid:61,61,;
system specifically	system:83,83,;
other version	other:94,;
various items	various:77,;
from approximate	from:1,1,;
have tend	have:76,;
be completely	be:50,;
subsets of	subsets:88,;
the purpose	the:39,90,96,39,90,96,;
two subject	two:106,106,;
made once	made:64,;
using relevance	using:104,;
development by	development:69,69,;
with traditional	with:36,36,;
described elsewhere	described:108,;
hence the	hence:73,73,;
mean interactive	mean:70,70,;
plan and	plan:75,;
for search	for:51,;
normally believe	normally:102,;
methodological approach	methodological:85,85,;
roots to	roots:67,;
papers generally	papers:91,;
hebrew and	hebrew:93,93,;
to improve	to:110,110,;
performance indicators	performance:59,;
get unhelpful	get:64,64,;
single segments	single:85,;
machine a	machine:103,103,;
capable of	capable:103,103,;
cite causal	cite:91,;
paper we	paper:73,81,73,81,;
the inquirer	the:61,61,61,61,;
formulate the	formulate:93,93,;
field such	field:48,;
also the	also:102,102,;
encyclopedias showed	encyclopedias:59,;
their interrelations	their:81,;
by these	by:90,;
be represent	be:78,;
phrases and	phrases:71,;
finding an	finding:86,;
online magnetic	online:87,87,;
article assesses	article:105,;
a spelling	a:86,86,;
is controlled	is:77,;
sections and	sections:67,;
environment parallel	environment:101,;
utilities that	utilities:58,;
seek information	seek:46,;
indexing of	indexing:59,59,;
recognition and	recognition:4,4,;
values and	values:39,;
the terms	the:102,102,102,104,111,112,;
mark passages	mark:90,;
are sketched	are:73,;
good international	good:47,;
arrange card	arrange:56,;
mechanisms which	mechanisms:97,;
indexing or	indexing:37,37,;
phase match	phase:67,;
bioliographic related	bioliographic:92,92,;
micrograph device	micrograph:100,;
domain oriented	domain:85,;
are influenced	are:63,;
base system	base:94,106,106,;
some of	some:36,47,47,49,68,83,36,47,47,49,68,83,;
are generated	are:104,;
system keywords	system:107,;
u s	u:92,92,;
is argued	is:64,;
concept then	concept:62,62,;
lookup technique	lookup:67,67,;
of tasks	of:70,;
then normalized	then:77,;
frequent term	frequent:102,;
two space	two:64,64,;
of creating	of:69,;
mode may	mode:90,90,;
is grossly	is:89,;
sciences citation	sciences:109,109,;
integrate with	integrate:91,;
term recently	term:102,;
analysis of	analysis:9,67,80,94,99,107,109,9,67,80,94,99,107,109,;
for what	for:53,53,;
author within	author:109,109,;
of centrality	of:109,109,;
inference script	inference:75,;
to schools	to:109,;
concept they	concept:90,;
be tune	be:73,;
independent and	independent:85,85,;
a fast	a:112,112,;
an item	an:86,;
weighting theory	weighting:102,;
will do	will:90,90,;
conit was	conit:99,;
role of	role:70,74,81,70,74,81,;
be said	be:48,;
meaning and	meaning:38,75,75,;
